train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn,is_unaccompanied_minor,is_mother_child
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,1,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,2,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,3,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,4,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,5,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,6,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,7,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,8,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,9,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,10,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,11,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,12,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,13,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,14,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,15,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,16,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,17,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,18,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,19,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,20,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,21,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,22,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,23,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,24,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,25,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,26,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,27,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,28,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,29,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,30,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,31,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,32,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,33,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,34,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,35,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,36,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,37,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,38,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,39,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,40,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,41,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,42,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,43,1С,1,0,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,44,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,45,1П,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,46,1П,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,47,1П,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,48,1П,0,1,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,1,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,2,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,3,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,4,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,5,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,6,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,7,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,8,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,9,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,10,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,11,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,12,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,13,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,14,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,15,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,16,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,17,1С,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,18,1С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,19,1С,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,20,1С,0,1,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,21,1С,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,22,1С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,23,1С,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,24,1С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,25,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,26,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,27,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,28,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,29,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,30,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,31,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,32,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,33,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,34,1С,0,1,0,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,35,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,36,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,37,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,38,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,39,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,40,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,41,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,42,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,43,1С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,44,1С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,45,1С,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,46,1С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,47,1С,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,48,1С,0,1,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,49,1С,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,50,1С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,51,1С,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,52,1С,0,1,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,1,2С,1,0,0,1,0,0,1,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,2,2С,0,1,0,1,0,0,1,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,3,2С,1,0,0,1,0,0,1,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,4,2С,0,1,0,1,0,0,1,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,5,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,6,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,7,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,8,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,9,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,10,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,11,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,12,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,13,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,14,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,15,2С,1,0,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,16,2С,0,1,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,17,2С,1,0,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,18,2С,0,1,1,1,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,19,2С,1,0,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,20,2С,0,1,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,21,2С,1,0,1,1,0,0,0,0,0,0,0
