train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn
SAPSAN_TYPE2_UPDATED_FAMILY,2,40,1С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,41,1С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,42,1С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,43,1С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,44,1С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,45,1Ж,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,47,1Ж,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,49,1Ж,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,2,51,1Ж,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,1,2С,1,0,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,2,2С,0,1,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,3,2С,1,0,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,4,2С,0,1,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,5,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,6,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,7,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,8,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,9,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,10,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,11,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,12,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,13,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,14,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,15,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,16,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,17,2С,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,18,2С,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,19,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,20,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,21,2С,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,22,2С,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,23,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,24,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,25,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,26,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,27,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,28,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,29,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,30,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,31,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,32,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,33,2С,1,0,0,0,0,0,0,0,0
