train_type,coach_no,coach_type_code,coach_type_name,coach_layout_id
SAPSAN_TYPE3_UPDATED_ECONPLUS,4,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH04,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 04",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach04_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,5,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH05,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 05",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach05_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,6,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH06,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 06",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach06_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,7,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH07,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 07",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach07_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,8,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH08,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 08",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach08_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,9,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH09,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 09",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach09_v001
SAPSAN_TYPE3_UPDATED_ECONPLUS,10,TYPESAPSAN_TYPE3_UPDATED_ECONPLUS_COACH10,"Поезд SAPSAN_TYPE3_UPDATED_ECONPLUS, вагон 10",SAPSAN_TYPE3_UPDATED_ECONPLUS_coach10_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,1,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH01,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 01",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach01_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,2,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH02,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 02",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach02_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,3,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH03,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 03",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach03_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,4,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH04,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 04",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach04_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,5,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH05,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 05",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach05_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,6,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH06,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 06",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach06_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,7,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH07,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 07",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach07_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,8,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH08,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 08",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach08_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,9,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH09,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 09",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach09_v001
SAPSAN_TYPE4_DOUBLE_BUSINESS,10,TYPESAPSAN_TYPE4_DOUBLE_BUSINESS_COACH10,"Поезд SAPSAN_TYPE4_DOUBLE_BUSINESS, вагон 10",SAPSAN_TYPE4_DOUBLE_BUSINESS_coach10_v001
